"250180460";ADAMOWICE;50,1297;18,3356;245;10183;57;1958;2015;o
"254230010";ALEKSANDRÓWKA;54,2728;23,1069;225;11814;66;1951;2018;o
"250190430";ALWERNIA;50,0483;19,5372;238;10962;56;1958;2014;o
"250210030";ANNOPOL;50,8894;21,8342;165;12114;68;1950;2018;o
"249199978";ANTAŁÓWKA;null;null;0;5944;26;1952;1980;o
"252189994";BABIAK;52,35;18,6667;120;4692;31;1950;1980;o
"253210080";BABIĘTA;53,67;21,2517;160;6742;40;1973;2014;o
"252150270";BABIMOST;52,1436;15,8033;59;2686;10;2009;2018;ko
"252159995";BABIMOST;null;null;0;1461;4;1986;1989;k
"250170410";BABORÓW;50,1531;17,9767;240;10758;64;1951;2015;o
"252179996";BACHORZEW;52;17,5667;115;4829;32;1950;1981;o
"253220260";BACIUTY;53,0531;22,9844;125;7909;52;1965;2018;o
"253190290";BĄGART;53,965;19,3628;5;2129;14;2002;2015;o
"254220080";BAKAŁARZEWO;54,0911;22,6661;173;10965;64;1953;2018;o
"250180010";BĄKÓW;50,9678;18,3192;230;11570;62;1952;2014;o
"254180120";BĄKOWO;54,2933;18,5303;90;9378;54;1963;2018;o
"250209983";BALICE;null;null;0;521;4;1991;1994;o
"249220170";BALIGRÓD-MCHAWA;49,3539;22,2836;430;21701;60;1956;2015;k
"254220060";BANIE MAZURSKIE;54,2517;22,0231;110;12643;64;1953;2018;o
"249190620";BAŃSKA WYŻNA;49,3842;19,9733;896;12661;68;1951;2018;o
"250210150";BARANÓW SANDOMIERSKI;50,4989;21,5297;150;7265;42;1972;2014;o
"250210070";BARANÓWEK;50,7703;21,2553;283;4534;30;1985;2015;o
"254210010";BARCIANY;54,2125;21,3578;65;9434;66;1951;2018;o
"252179999";BARCIN;52,8667;17,9333;75;6457;42;1950;1992;o
"250160410";BARDO;50,5092;16,7442;320;11947;67;1951;2018;o
"253229994";BARSZCZOWA GÓRA;null;null;0;5086;30;1964;1995;o
"250200010";BARTKÓW;50,9786;20,6497;330;11280;64;1951;2015;o
"249210170";BARTNE;49,5586;21,3456;540;10777;64;1951;2015;o
"251210090";BARTODZIEJE;51,525;21,1997;135;10052;61;1957;2018;o
"254200040";BARTOSZYCE;54,2403;20,7978;59;8179;48;1969;2018;o
"252190080";BARUCHOWO;52,4922;19,2403;80;8612;64;1950;2014;o
"253160050";BARWICE;53,7481;16,3581;120;10717;65;1953;2018;o
"249210240";BARWINEK;49,4311;21,6847;450;21607;62;1954;2015;ko
"251210270";BASINÓW;51,6922;21,3572;110;2053;12;2007;2018;o
"250229988";BATORZ;50,8333;22,5;280;6737;43;1951;1994;o
"249219988";BESKO;49,6;21,9667;290;5707;41;1951;1992;o
"251230120";BEZEK;51,1772;23,2636;224;12455;39;1976;2015;ko
"251190110";BEŁCHATÓW;51,4239;19,3789;225;9187;53;1956;2018;o
